"Sample Name","COSMIC identifier","Whole Exome Sequencing (WES)","Copy Number Alterations (CNA)","Gene Expression","Methylation","Drug
Response","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2","Cancer Type
(matching TCGA label)","Microsatellite 
instability Status (MSI)","Screen Medium","Growth Properties"
"ME-1",1330942,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"HSC-39",1322224,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Suspension"
"CAL-148",924106,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Suspension"
"P31-FUJ",909253,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSI-H","R","Suspension"
"NCCIT",908441,"Y","Y","Y","Y","N","urogenital_system","testis","","MSS/MSI-L","R","Adherent"
"SNU-407",1660034,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"SIMA",753620,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"AGS",906790,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"EW-12",949162,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Suspension"
"RCC-ER",1524417,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"MM1S",1659818,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"KARPAS-45",907272,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","R","Suspension"
"PA-TU-8902",1298526,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"ES6",949157,"Y","Y","Y","N","Y","bone","ewings_sarcoma","","MSS/MSI-L","R","Adherent"
"HO-1-u-1",753561,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"SNU-C1",910905,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Suspension"
"NB1",949179,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Semi-Adherent"
"SCC90",1299052,"Y","Y","Y","N","Y","aero_dig_tract","head and neck","HNSC","","R","Adherent"
"KG-1",907278,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","D/F12","Suspension"
"K-562",905940,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","D/F12","Suspension"
"NCI-H292",753604,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","","MSS/MSI-L","R","Adherent"
"PANC-04-03",1298476,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"LNCaP-Clone-FGC",907788,"Y","Y","Y","Y","Y","urogenital_system","prostate","PRAD","MSI-H","R","Adherent"
"C-4-I",687506,"Y","Y","Y","Y","Y","urogenital_system","cervix","CESC","MSS/MSI-L","D/F12","Adherent"
"ESS-1",907000,"Y","Y","Y","Y","Y","urogenital_system","endometrium","","MSS/MSI-L","R","Adherent"
"TC-71",1240221,"Y","Y","Y","Y","Y","bone","ewings_sarcoma","","MSS/MSI-L","D/F12","Adherent"
"KP-2",1298218,"Y","N","Y","N","Y","pancreas","pancreas","PAAD","","D/F12","Adherent"
"HCC1395",749712,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"JHU-029",1298156,"Y","Y","Y","N","Y","aero_dig_tract","head and neck","HNSC","","R","Adherent"
"HSC-2",753562,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"STS-0421",1299061,"Y","Y","Y","N","Y","soft_tissue","soft_tissue_other","","","R","Adherent"
"LB996-RCC",753585,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"SNG-M",909735,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSI-H","D/F12","Adherent"
"NB6",949173,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","D/F12","Adherent"
"JVM-2",907269,"Y","Y","Y","Y","Y","lymphoma","lymphoid_neoplasm other","CLL","MSS/MSI-L","R","Suspension"
"TK",1331045,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"DBTRG-05MG",906835,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","R","Adherent"
"KP-N-YN",907314,"Y","Y","Y","Y","Y","neuroblastoma","neuroblastoma","NB","MSS/MSI-L","R","Adherent"
"NCI-H1770",687804,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_not specified","UNABLE TO CLASSIFY","MSS/MSI-L","D/F12","Suspension"
"RCC-JF",1524415,"Y","Y","Y","N","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"NCI-H446",688023,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Semi-Adherent"
"TK10",905980,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"L-428",907322,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"Daudi",906831,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"CW-2",910554,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"GDM-1",906870,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"KYSE-220",1240167,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"MDA-MB-436",1240172,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"MOLM-16",1330948,"Y","Y","Y","N","Y","leukemia","acute_myeloid_leukaemia","LAML","","R","Suspension"
"OCI-AML3",1290455,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"HCC38",749717,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Adherent"
"RL95-2",930082,"Y","Y","Y","N","Y","urogenital_system","endometrium","","MSI-H","D/F12","Adherent"
"NCI-H2087",724834,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Semi-Adherent"
"D-423MG",946372,"Y","Y","Y","N","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"8505C",924102,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","R","Adherent"
"JM1",1327768,"Y","Y","Y","N","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","D/F12","Suspension"
"CML-T1",910951,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","D/F12","Suspension"
"M059J",949094,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"CHSA0108",1290768,"Y","Y","Y","N","Y","bone","chondrosarcoma","","","R","Adherent"
"CL-34",1290771,"Y","Y","Y","N","Y","large_intestine","large_intestine","COAD/READ","","D/F12","Adherent"
"CAL-62",906828,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"SW626",909753,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"DMS-273",687985,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"HCC1599",749713,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","R","Suspension"
"Hey",1479988,"Y","Y","Y","N","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"MSTO-211H",908152,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"RCH-ACV",1330994,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"SU-DHL-16",1331034,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"GRANTA-519",1303897,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","D/F12","Suspension"
"K2",1298160,"Y","Y","Y","N","Y","skin","melanoma","SKCM","","D/F12","Adherent"
"TE-4",1503371,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"TGBC1TKB",909769,"Y","Y","Y","Y","Y","digestive_system","biliary_tract","","MSS/MSI-L","D/F12","Adherent"
"NOS-1",925345,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","R","Adherent"
"SJSA-1",909717,"Y","Y","Y","Y","Y","bone","bone_other","","MSS/MSI-L","R","Adherent"
"MN-60",908143,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSI-H","D/F12","Suspension"
"KM12",905989,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","R","Adherent"
"NCC010",1509073,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"22RV1",924100,"Y","Y","Y","Y","Y","urogenital_system","prostate","PRAD","MSI-H","R","Adherent"
"KARPAS-1106P",1327773,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"LB771-HNC",753583,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"CP50-MEL-B",753545,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"DOV13",1479987,"Y","Y","Y","N","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"NCI-H720",687600,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_carcinoid","","MSS/MSI-L","D/F12","Suspension"
"VMRC-RCZ",909781,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"NCI-H345",688021,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"LB1047-RCC",753577,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSI-H","D/F12","Adherent"
"KU-19-19",907312,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","R","Adherent"
"OV-56",1480362,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"OVTOKO",1298365,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"FLO-1",1503361,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KMS-11",1659817,"Y","Y","Y","N","Y","myeloma","myeloma","MM","","R","Suspension"
"Hs-445",1322218,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"NCI-H1876",1330972,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"U-2-OS",909776,"Y","Y","Y","Y","Y","bone","osteosarcoma","","MSS/MSI-L","R","Adherent"
"NCI-H2122",722046,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"OCI-LY7",1659819,"Y","Y","Y","N","Y","lymphoma","B_cell_lymphoma","DLBC","","D/F12","Suspension"
"COLO-829",687448,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"MFE-296",908130,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSI-H","D/F12","Adherent"
"D-566MG",946377,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"K5",924238,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"LC-1-sq",1298223,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"NCI-H226",905941,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"SU8686",1240218,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"SW1271",1299062,"Y","Y","Y","N","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Adherent"
"NCI-H716",908458,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Suspension"
"LB831-BLC",753584,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"HC-1",907044,"Y","Y","Y","Y","Y","leukemia","hairy_cell_leukaemia","","MSS/MSI-L","R","Suspension"
"Jurkat",998184,"Y","Y","Y","Y","Y","leukemia","T_cell_leukemia","ALL","MSI-H","R","Suspension"
"MOG-G-UVW",908145,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"JIMT-1",1298157,"Y","Y","Y","N","Y","breast","breast","BRCA","","D/F12","Adherent"
"PEO1",1480372,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"PL4",1298533,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"TT",930299,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
